Source,Target,relationship,,,political affiliation,,Tribe,Political Offices
Parvez Khattak,Nafeesa Inayat ulla Khattak  ,Wife of Brother,,,PTI,,Khattaks,KP & NA
Parvez Khattak,Mussarrat Ahmed Zaib,Sister of Brother's Wife,,,PTI,,Khattaks,KP & NA
Parvez Khattak,Sajida Zulfiqar,Daughter of First Cousin,,,PTI,,Khattaks,KP & NA
Parvez Khattak,Dr. Imran Khattak,Son in Law,,,PTI,,Khattaks,KP & NA
Aftab Sherpao,Sikandar Sherpao,Son,,,QWP,,Sherpao,KP & NA
Nawaz Sharif,Capitan Safdar,Son in Law,,,PML N,,,KP & NA
Nawaz Sharif,Hamza Nawaz,Nephew,,,PML N,,,PA & NA
Qaim Ali Shah,Nafeesa Shah,Daughter,,,PPP,,,SA & NA
Amin Fahim,Jameel Uz Zaman,Son,,,PPP,,,NA
Chaudhry Shujaat Hussain,Chaudhry Pervez Elahi,Brother,,,PML Q,,Warraich Jatt,NA
Chaudhry Pervez Elahi,Moonis Elahi,Son,,,PML Q,,Warraich Jatt,NA
Asad Umar,Zubair Umar ,Brother,,,PTI &  PML Q,,,NA
Zulfiqar Magsi,Saif Ullah Magsi,son,,,PPP,,Magsi,Governor BA & senate
Zulfiqar Magsi,Akbar Magsi,Brother,,,Independent and PPP,,Magsi,Governor BA & Senate
Zulfiqar Magsi,Nadir Magsi,Brother,,,PPP,,Magsi,Governor BA & SA
Zulfiqar Magsi,Tariq Magsi,Brother,,,PPP,,Magsi,Governor BA & BA
Zulfiqar Magsi,Khalid Magsi,Brother,,,ppp,,Magsi,Governor BA & Nazim
Zulfiqar Magsi,Shama Parveen Magsi,Wife ,,,ppp,,Magsi,Governor BA & BA
Zulfiqar Magsi,Aamir Magsi,Brother,,,ppp,,Magsi,Governor BA & NA
Nisar Memon,Marvi Memon,Daughter,,,pmlq and pmln,,,
Fahmida mirza,hasnain mirza,son,,,ppp,,,NA & SA
Fahmida mirza,zulfiqar miza ,husband,,,ppp,,,NA & SA
Mushahidullah Khan,Rida Khan,Daughter,,,pmln,,,Senate & NA
Pervez Malik,Shaista Pervez,Wife,,,pmln,,,NA & NA
Nawaz Sharif,Ishaq Dar,father of son in law,,,pml n,,,NA & senate
Nawaz Sharif,Salman shahbaz,Nephew,,,pml n,,,
Nawaz Sharif,Shahbaz Sharif,Brother,,,pml n,,,NA & PA
Nawaz Sharif,Hamza shahbaz,nephew,,,pml n,,,NA & NA
Asif Zardari ,Bilawal Bhutto,son,,,ppp,,Zardari,Chief
Asif Zardari ,Faryal Talpur,Sister ,,,ppp,,Zardari & Talpur,Chief & NA
Asif Zardari ,Azra Pechuho,sister,,,ppp,,Zardari & pechuho,Chief & NA
Fazlur Rehman,Atta ur Rehman,Brother,,,JUI F,,,NA & PA
Fazlur Rehman,Asad Masud,son,,,JUI F,,,
Yousaf Raza Gillani ,Abdul Qadir Gillani,son,,,PPP,,Gillani,NA & NA
Jafar Iqbal,Ishrat Iqbal,wife,,,pmln,,Gujjar,
Jafar Iqbal,Zaib Jafar,daughter,,,pmln,,Gujjar,
Jafar Iqbal,Umar Jaffa,Son,,,pmln,,Gujjar,
Tehmina Doltana,Mian Irfan Aqeel,son,,,pmln,,Daultana,
Chaudhry Shujaat Hussain,Chaudhry Shafaat Hussain,Brother,,,pmlq ,,Warraich Jatt,
Tahira Aurangzeb,Maryam Aurangzeb,Daughter,,,pmln,,,
Awais Laghari  ,Jamal Laghari,Son,,,,,Laghari,NA & PA
Mustafa Mahmood ,Murtaza Mahmood ,Brother,,,pmln,,,
Sikhandar Hayat Bosan ,Shoukat Hayat Bosan ,Brother,,,pmln,,Bosan,
Raza Hayat Haraj ,Amir Hayat Haraj,brother,,,pmln,,,
Afzal Khokhar ,Saif Ul Mulook Khokhar ,brother,,,pmln,,,
Khawaja Saad Rafique,Ghazala Saad Rafique,Wife,,,pmln,,,
Rana Afzal Hussain ,Rana Tanveer Hussain,Brother,,,pmln,,Rana,
Chaudhry Pervez Elahi,Zareen Elahi,Nephew,,,Pmlq,,Waraich Jatt,
Tariq Bashir Cheema ,Tahir Bashir Cheema ,Brother,,,pmlq,,,
Imran Zafar Laghari,Zafar Laghari,father,,,ppp,,Laghari,
makhdhoom jamil ,makhdoom khaleeq uz zaman,Uncle,,,ppp,,Sarwari Jamaat,
Malik Abrar Ahmed,Malik Iftikhar,Brother,,,pmln,,Gujjar,
Nisar Khuhro,Nida Khuhro,Daughter,,,ppp,,Khuhro,SA & SA
Ali Gohar Mahar,Ali Muhammad Mahar,Brother,,,ppp,,Mahar,NA & NA
Ali Gohar Mahar,Ali Nawaz Mahar,Brother,,,ppp,,Mahar,NA & SA
Ali Gohar Mahar,Mohammad Bakhsh Khan Mahar,cousin,,,ppp,,Mahar,NA & SA
Ghous Bakhsh Mahar ,Sheharyar Mahar,son,,,pmlq,,Mahar,NA & SA
Nawab Yousuf Talpur,Taimoor Talpur,son,,,ppp,,Talpur,NA & SA
